product_name,ratings_count,top_reviews
SAMSUNG 970 EVO Plus SSD 2TB - M.2 NVMe Interface Internal Solid State Drive with V-NAND Technology (MZ-V7S2T0B/AM),"29,079 ratings","[{'rating_title': 'Wow - not just benchmark good, but really GOOD!', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Does not work with macOS', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'So far so good', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Great drive, stupid software', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Faster than the 970 Pro for less', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Not compatible with OS X', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': 'Fast', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Great speed and amazing startup times.', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
"Western Digital 1TB WD Blue SN550 NVMe Internal SSD - Gen3 x4 PCIe 8Gb/s, M.2 2280, 3D NAND, Up to 2,400 MB/s - WDS100T2B0C","14,464 ratings","[{'rating_title': 'Speedy drive for everyday, mainstream computing at an EXCELLENT price', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Great value for NVME performance, marginally better than SATA SSD', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Dissappointed.  Slow boot and no clone software. Horrible experience.', 'star_rating': '2.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
Crucial P2 1TB 3D NAND NVMe PCIe M.2 SSD Up to 2400MB/s - CT1000P2SSD8,"10,765 ratings","[{'rating_title': ""Good SSD but doesn't come with a screw :("", 'star_rating': '3.0 out of 5 stars'}, {'rating_title': 'Works Great, But REALLY Complicated', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Crazy fast drive', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Very Good Purchase', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'POOR TECH SUPPORT', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': 'Plenty fast', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Duaghter is very happy', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Correctly installed it works great!', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
"WD_BLACK 1TB SN750 SE NVMe Internal Gaming SSD Solid State Drive - Gen4 PCIe, M.2 2280, Up to 3,600 MB/s - WDS100T1B0E","13,282 ratings","[{'rating_title': 'Fast drive, good temps and price!', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'WD Black has no intention of you getting BF2042', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': 'Failed within a week', 'star_rating': '3.0 out of 5 stars'}, {'rating_title': 'PC keeps freezing', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': 'As expected', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Nice Specs but not reliable', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': ""Really really fast SSD, but there's this one small typo in the Battlefield instructions..."", 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Review: This NVME is STRAIT TRASH. 0-stars if I could.', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
Sabrent 512GB Rocket NVMe PCIe M.2 2280 Internal SSD High Performance Solid State Drive (SB-ROCKET-512),"16,765 ratings","[{'rating_title': 'Read if cloning hard drive', 'star_rating': '3.0 out of 5 stars'}, {'rating_title': 'Warning, Sabrent has quietly changed design', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': '6 drives, 50% DOA rate (updated 5/28/19, now 67% are dead)', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': 'Ok, Initial Thoughts ... WOW ... And they continue ...', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
Samsung Electronics (MZ-V8V500B/AM) 980 SSD 500GB - M.2 NVMe Interface Internal Solid State Drive with V-NAND Technology,"4,487 ratings","[{'rating_title': 'Great NVMe drive for the price', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Good', 'star_rating': '3.0 out of 5 stars'}, {'rating_title': 'Samsung software is horrible', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Amazing Drive', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Great product', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': ""The Samsung 980 is the best Gen 3 M.2 SSD I've Owned."", 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'As advertised! Speeds are there and works great.', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
"WD_BLACK 1TB SN750 SE NVMe Internal Gaming SSD Solid State Drive - Gen4 PCIe, M.2 2280, Up to 3,600 MB/s - WDS100T1B0E","13,282 ratings","[{'rating_title': 'Fast drive, good temps and price!', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'WD Black has no intention of you getting BF2042', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': 'Failed within a week', 'star_rating': '3.0 out of 5 stars'}, {'rating_title': 'PC keeps freezing', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': 'As expected', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Nice Specs but not reliable', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': ""Really really fast SSD, but there's this one small typo in the Battlefield instructions..."", 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Review: This NVME is STRAIT TRASH. 0-stars if I could.', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
SAMSUNG (MZ-V8V1T0B/AM) 980 SSD 1TB - M.2 NVMe Interface Internal Solid State Drive with V-NAND Technology,"4,487 ratings","[{'rating_title': 'Great NVMe drive for the price', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Good', 'star_rating': '3.0 out of 5 stars'}, {'rating_title': 'Samsung software is horrible', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Amazing Drive', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Great product', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': ""The Samsung 980 is the best Gen 3 M.2 SSD I've Owned."", 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'As advertised! Speeds are there and works great.', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
SAMSUNG 970 EVO Plus SSD 2TB - M.2 NVMe Interface Internal Solid State Drive with V-NAND Technology (MZ-V7S2T0B/AM),"29,079 ratings","[{'rating_title': 'Wow - not just benchmark good, but really GOOD!', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Does not work with macOS', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'So far so good', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Great drive, stupid software', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Faster than the 970 Pro for less', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Not compatible with OS X', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': 'Fast', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Great speed and amazing startup times.', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
Samsung Electronics (MZ-V8V500B/AM) 980 SSD 500GB - M.2 NVMe Interface Internal Solid State Drive with V-NAND Technology,"4,487 ratings","[{'rating_title': 'Great NVMe drive for the price', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Good', 'star_rating': '3.0 out of 5 stars'}, {'rating_title': 'Samsung software is horrible', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Amazing Drive', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Great product', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': ""The Samsung 980 is the best Gen 3 M.2 SSD I've Owned."", 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'As advertised! Speeds are there and works great.', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
"WD_BLACK 1TB SN750 SE NVMe Internal Gaming SSD Solid State Drive - Gen4 PCIe, M.2 2280, Up to 3,600 MB/s - WDS100T1B0E","13,282 ratings","[{'rating_title': 'Fast drive, good temps and price!', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'WD Black has no intention of you getting BF2042', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': 'Failed within a week', 'star_rating': '3.0 out of 5 stars'}, {'rating_title': 'PC keeps freezing', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': 'As expected', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Nice Specs but not reliable', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': ""Really really fast SSD, but there's this one small typo in the Battlefield instructions..."", 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Review: This NVME is STRAIT TRASH. 0-stars if I could.', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
SAMSUNG (MZ-V8V1T0B/AM) 980 SSD 1TB - M.2 NVMe Interface Internal Solid State Drive with V-NAND Technology,"4,487 ratings","[{'rating_title': 'Great NVMe drive for the price', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Good', 'star_rating': '3.0 out of 5 stars'}, {'rating_title': 'Samsung software is horrible', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Amazing Drive', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Great product', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': ""The Samsung 980 is the best Gen 3 M.2 SSD I've Owned."", 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'As advertised! Speeds are there and works great.', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
SAMSUNG 970 EVO Plus SSD 2TB - M.2 NVMe Interface Internal Solid State Drive with V-NAND Technology (MZ-V7S2T0B/AM),"29,079 ratings","[{'rating_title': 'Wow - not just benchmark good, but really GOOD!', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Does not work with macOS', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'So far so good', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Great drive, stupid software', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Faster than the 970 Pro for less', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Not compatible with OS X', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': 'Fast', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Great speed and amazing startup times.', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
"Western Digital 1TB WD Blue SN550 NVMe Internal SSD - Gen3 x4 PCIe 8Gb/s, M.2 2280, 3D NAND, Up to 2,400 MB/s - WDS100T2B0C","14,464 ratings","[{'rating_title': 'Speedy drive for everyday, mainstream computing at an EXCELLENT price', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Great value for NVME performance, marginally better than SATA SSD', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Dissappointed.  Slow boot and no clone software. Horrible experience.', 'star_rating': '2.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
Samsung 980 PRO 1TB PCIe NVMe Gen4 Internal Gaming SSD M.2 (MZ-V8P1T0B),"5,767 ratings","[{'rating_title': 'Great Performer - Not for Everyone', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Big fail with 3-bit memory', 'star_rating': '3.0 out of 5 stars'}, {'rating_title': 'Lightning fast!!!', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Fast, but not advertised speeds. Write speeds drop significantly', 'star_rating': '3.0 out of 5 stars'}, {'rating_title': ""Fastest boot times I've ever seen"", 'star_rating': '5.0 out of 5 stars'}, {'rating_title': ""If you've used an SSD before you know what to expect, just a bit faster."", 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Forget ""Data Encryption""', 'star_rating': '3.0 out of 5 stars'}, {'rating_title': 'Well worth it', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
Crucial P2 1TB 3D NAND NVMe PCIe M.2 SSD Up to 2400MB/s - CT1000P2SSD8,"10,765 ratings","[{'rating_title': ""Good SSD but doesn't come with a screw :("", 'star_rating': '3.0 out of 5 stars'}, {'rating_title': 'Works Great, But REALLY Complicated', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Crazy fast drive', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Very Good Purchase', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'POOR TECH SUPPORT', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': 'Plenty fast', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Duaghter is very happy', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Correctly installed it works great!', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
"TEAMGROUP MP33 512GB SLC Cache 3D NAND TLC NVMe 1.3 PCIe Gen3x4 M.2 2280 Internal Solid State Drive SSD (Read/Write Speed up to 1,700/1,400 MB/s) Compatible with Laptop & PC Desktop TM8FP6512G0C101","1,234 ratings","[{'rating_title': 'update', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': 'Disappeared from Windows 10 (update - and other issues. )', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': 'Best upgrade ever, Super Fast.  Bought a second one for my Mac Mini 2014 comments.', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'DRIVER UPATE MAY BE REQUIRED', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
"Crucial P5 1TB 3D NAND NVMe Internal SSD, up to 3400MB/s - CT1000P5SSD8","5,872 ratings","[{'rating_title': 'Make sure you bring your own screw!', 'star_rating': '3.0 out of 5 stars'}, {'rating_title': 'DO NOT BUY PRODUCT UNDER ANY CIRCUMSTANCE', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': 'Absolutely fantastic speeds!', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Great upgrade for a Dell G3 3779', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'If you’ve never replaced your SSD, study up first', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'You Do Not Know What You Are Missing UNTIL You Add This To Your Computer', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Excellent', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
"TEAMGROUP T-Force CARDEA A440 Graphene & Aluminum Heatsink 1TB with DRAM SLC Cache 3D NAND TLC NVMe PCIe Gen4 x4 M.2 2280 Gaming Internal SSD Read/Write 7,000/5,500 MB/s TM8FPZ001T0C327",700 ratings,"[{'rating_title': 'PS5 compatible!!!', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Super fast! Great value!', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Really fast', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': ""Teamgroup doesn't support their product - Read before you buy"", 'star_rating': '1.0 out of 5 stars'}, {'rating_title': 'top 5 fastest but running hot comes with the territory', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Trashhhh', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': 'Expensive and mediocre', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'nope. spend the extra $10.', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
